2024-06-11 09:32:06,034 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-11 09:32:06,035 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-11 09:32:10,774 - -----Starting Log-----
2024-06-11 09:36:43,752 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.9%, GPU Usage: 89.0%
2024-06-11 09:36:45,783 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 20.0%, GPU Usage: 89.0%
2024-06-11 09:36:47,814 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 20.0%, GPU Usage: 90.0%
2024-06-11 09:36:49,844 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 20.0%, GPU Usage: 89.0%
2024-06-11 09:36:51,872 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 20.0%, GPU Usage: 89.0%
2024-06-11 09:36:53,902 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 20.0%, GPU Usage: 90.0%
2024-06-11 09:36:55,932 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 20.0%, GPU Usage: 55.00000000000001%
2024-06-11 09:36:57,962 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 20.0%, GPU Usage: 89.0%
2024-06-11 09:36:59,992 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.7%, Memory Usage: 20.0%, GPU Usage: 91.0%
2024-06-11 09:37:02,022 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 20.0%, GPU Usage: 91.0%
