2024-06-13 00:26:32,195 - -----Starting Log-----
2024-06-13 00:30:10,789 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.8%, Memory Usage: 25.1%, GPU Usage: 88.0%
2024-06-13 00:30:12,817 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.5%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:30:14,845 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.0%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:30:16,873 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.0%, Memory Usage: 25.2%, GPU Usage: 87.0%
2024-06-13 00:30:18,901 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.5%, Memory Usage: 25.1%, GPU Usage: 88.0%
2024-06-13 00:30:21,022 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.9%, Memory Usage: 25.1%, GPU Usage: 88.0%
2024-06-13 00:30:23,050 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.7%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:30:25,076 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.2%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:30:27,105 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.7%, Memory Usage: 25.2%, GPU Usage: 87.0%
2024-06-13 00:30:29,134 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 6.2%, Memory Usage: 25.3%, GPU Usage: 88.0%
2024-06-13 00:30:31,163 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.2%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:30:33,189 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.7%, Memory Usage: 25.3%, GPU Usage: 87.0%
2024-06-13 00:30:35,216 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 6.4%, Memory Usage: 25.4%, GPU Usage: 88.0%
2024-06-13 00:30:37,246 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.4%, Memory Usage: 25.4%, GPU Usage: 89.0%
2024-06-13 00:30:39,274 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:30:41,302 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:43,334 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.1%, GPU Usage: 90.0%
2024-06-13 00:30:45,361 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.7%, Memory Usage: 25.1%, GPU Usage: 87.0%
2024-06-13 00:30:47,389 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.5%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:49,417 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:51,449 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.7%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:53,479 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 25.1%, GPU Usage: 88.0%
2024-06-13 00:30:55,506 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.0%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:57,537 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 25.1%, GPU Usage: 89.0%
2024-06-13 00:30:59,565 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 25.1%, GPU Usage: 90.0%
2024-06-13 00:31:01,594 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.6%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:31:03,620 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.8%, Memory Usage: 25.2%, GPU Usage: 88.0%
2024-06-13 00:31:05,649 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:31:07,678 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.7%, Memory Usage: 25.1%, GPU Usage: 88.0%
2024-06-13 00:31:09,706 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.4%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:31:11,733 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 25.2%, GPU Usage: 55.00000000000001%
2024-06-13 00:31:13,761 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.0%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:31:15,790 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.2%, GPU Usage: 90.0%
2024-06-13 00:31:17,818 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:31:19,848 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 25.2%, GPU Usage: 89.0%
2024-06-13 00:31:21,877 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 25.2%, GPU Usage: 90.0%
2024-06-13 00:31:23,906 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.1%, Memory Usage: 25.2%, GPU Usage: 87.0%
