2024-06-10 09:26:37,396 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-10 09:26:37,397 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-10 09:26:41,947 - -----Starting Log-----
2024-06-10 09:30:54,529 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.1%, GPU Usage: 89.0%
2024-06-10 09:30:56,559 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:30:58,588 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:31:00,617 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:31:02,645 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 22.1%, GPU Usage: 91.0%
2024-06-10 09:31:04,674 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:31:06,703 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:31:08,731 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:31:10,759 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 22.0%, GPU Usage: 91.0%
2024-06-10 09:31:12,785 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:31:14,815 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:31:16,842 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 22.1%, GPU Usage: 64.0%
2024-06-10 09:31:18,870 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 22.1%, GPU Usage: 89.0%
2024-06-10 09:31:20,900 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.2%, GPU Usage: 90.0%
2024-06-10 09:31:22,931 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.2%, GPU Usage: 89.0%
2024-06-10 09:31:24,960 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 22.2%, GPU Usage: 90.0%
2024-06-10 09:31:26,986 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.2%, GPU Usage: 91.0%
2024-06-10 09:31:29,015 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 22.2%, GPU Usage: 90.0%
